ID,min,max,mean_acc
0148,0.0,0.5,0.16666666666666666
0149,0.25,1.0,0.75
0150,1.0,1.0,1.0
0151,0.0,1.0,0.6666666666666666
0152,0.5,1.0,0.6666666666666666
0153,0.0,1.0,0.3333333333333333
0154,0.0,1.0,0.5333333333333333
0155,1.0,1.0,1.0
0156,0.0,1.0,0.4666666666666666
0157,0.0,0.0,0.0
0158,0.0,0.8,0.4666666666666666
0159,0.6,1.0,0.7333333333333334
0160,1.0,1.0,1.0
0161,0.0,1.0,0.6666666666666666
0162,0.25,1.0,0.5833333333333334
0163,0.0,0.0,0.0
0164,0.2,0.6,0.3333333333333333
0165,0.0,0.0,0.0
0166,1.0,1.0,1.0
0168,0.0,1.0,0.3333333333333333
0169,0.0,1.0,0.6666666666666666
0170,1.0,1.0,1.0
0171,0.0,0.0,0.0
0173,1.0,1.0,1.0
0174,0.0,0.6666666666666666,0.2222222222222222
0175,0.0,1.0,0.6666666666666666
0176,0.0,1.0,0.4444444444444444
0177,1.0,1.0,1.0
0178,1.0,1.0,1.0
0179,0.6666666666666666,0.6666666666666666,0.6666666666666666
0180,1.0,1.0,1.0
0181,0.6666666666666666,1.0,0.8888888888888888
0182,0.0,1.0,0.4444444444444444
0183,0.8,1.0,0.9333333333333332
0184,0.3333333333333333,1.0,0.7777777777777777
0185,1.0,1.0,1.0
0186,0.0,0.2,0.06666666666666667
0187,0.6666666666666666,1.0,0.8888888888888888
0188,0.3333333333333333,1.0,0.7777777777777777
0189,0.5,1.0,0.8333333333333334
0190,0.75,1.0,0.9166666666666666
0191,0.4,1.0,0.6666666666666666
0192,0.0,0.0,0.0
0193,0.6,1.0,0.8666666666666667
0194,0.0,0.0,0.0
0195,0.0,0.0,0.0
0196,0.0,0.5,0.16666666666666666
0197,1.0,1.0,1.0
0198,0.3333333333333333,1.0,0.7777777777777778
0199,1.0,1.0,1.0
0200,0.0,0.3333333333333333,0.1111111111111111
0201,0.75,1.0,0.9166666666666666
0202,0.0,1.0,0.6666666666666666
0203,1.0,1.0,1.0
0204,0.0,0.0,0.0
0205,1.0,1.0,1.0
0206,1.0,1.0,1.0
0207,0.0,1.0,0.3333333333333333
0208,0.0,0.5,0.16666666666666666
0209,1.0,1.0,1.0
0210,0.0,0.5,0.3333333333333333
0211,0.0,1.0,0.4444444444444444
0212,0.0,0.0,0.0
0213,0.0,1.0,0.3333333333333333
0214,0.0,1.0,0.5555555555555555
0215,1.0,1.0,1.0
0216,1.0,1.0,1.0
0217,0.6,0.8,0.7333333333333334
0218,0.5,0.75,0.6666666666666666
0219,0.0,0.5,0.16666666666666666
0220,0.0,0.3333333333333333,0.1111111111111111
0221,1.0,1.0,1.0
0222,0.3333333333333333,1.0,0.7777777777777777
0223,1.0,1.0,1.0
0224,0.0,1.0,0.3333333333333333
0225,0.0,1.0,0.5
0226,0.0,0.0,0.0
0227,1.0,1.0,1.0
0228,0.6,1.0,0.7999999999999999
0229,0.6666666666666666,0.6666666666666666,0.6666666666666666
0230,0.0,0.0,0.0
0231,0.0,1.0,0.3333333333333333
0233,0.0,1.0,0.6666666666666666
