index,has_he a,has_dat,status
0511,True,True,OK
0512,True,True,OK
0513,True,True,OK
0514,True,True,OK
0515,True,True,OK
0516,True,True,OK
0517,True,True,OK
0518,True,True,OK
0519,True,True,OK
0520,True,True,OK
0521,True,True,OK
0522,True,True,OK
0523,True,True,OK
0524,True,True,OK
0525,True,True,OK
0526,True,True,OK
0527,True,True,OK
0528,True,True,OK
0529,True,True,OK
0530,True,True,OK
0531,True,True,OK
0532,True,True,OK
0533,True,True,OK
0534,True,True,OK
0535,True,True,OK
0536,True,True,OK
0537,True,True,OK
0538,True,True,OK
0539,True,True,OK
0540,True,True,OK
0541,True,True,OK
0542,True,True,OK
0543,True,True,OK
0544,True,True,OK
0545,True,True,OK
0546,True,True,OK
0547,True,True,OK
0548,True,True,OK
0549,True,True,OK
0550,True,True,OK
0551,True,True,OK
0552,True,True,OK
0553,True,True,OK
0554,True,True,OK
0555,True,True,OK
0556,True,True,OK
0557,True,True,OK
0558,True,True,OK
0559,True,True,OK
0560,True,True,OK
0561,True,True,OK
0562,True,True,OK
0563,True,True,OK
0564,True,True,OK
0565,True,True,OK
0566,True,True,OK
0567,True,True,OK
0568,True,True,OK
0569,True,True,OK
0570,True,True,OK
0571,True,True,OK
0572,True,True,OK
0573,True,True,OK
0574,True,True,OK
0575,True,True,OK
0576,True,True,OK
0577,True,True,OK
0578,True,True,OK
0579,True,True,OK
0580,True,True,OK
0581,True,True,OK
0582,True,True,OK
0583,True,True,OK
0584,True,True,OK
0585,True,True,OK
0586,True,True,OK
0587,True,True,OK
0588,True,True,OK
0589,True,True,OK
0590,True,True,OK
0591,True,True,OK
0592,True,True,OK
0593,True,True,OK
0594,True,True,OK
0595,True,True,OK
0596,True,True,OK
0597,True,True,OK
0598,True,True,OK
0599,True,True,OK
0600,True,True,OK
0601,True,True,OK
0602,True,True,OK
0603,True,True,OK
0604,True,True,OK
0605,True,True,OK
0606,True,True,OK
0607,True,True,OK
0608,True,True,OK
0609,True,True,OK
0610,True,True,OK
0611,True,True,OK
0612,True,True,OK
0613,True,True,OK
0614,True,True,OK
0615,True,True,OK
0616,True,True,OK
0617,True,True,OK
0618,True,True,OK
0619,True,True,OK
0620,True,True,OK
0621,True,True,OK
0622,True,True,OK
0623,True,True,OK
0624,True,True,OK
0625,True,True,OK
0626,True,True,OK
0627,True,True,OK
0628,True,True,OK
0629,True,True,OK
0630,True,True,OK
0631,True,True,OK
