name_ecg,quality
1020,Unacceptable
1021,Barely acceptable
1022,Barely acceptable
1023,Barely acceptable
1025,Barely acceptable
1027,Barely acceptable
1029,Barely acceptable
1030,Barely acceptable
1034,Barely acceptable
1035,Barely acceptable
1036,Barely acceptable
1037,Barely acceptable
1038,Barely acceptable
1039,Barely acceptable
1040,Unacceptable
1041,Barely acceptable
1042,Barely acceptable
1046,Barely acceptable
1047,Barely acceptable
1049,Unacceptable
1050,Barely acceptable
1051,Barely acceptable
1052,Barely acceptable
1053,Unacceptable
1055,Barely acceptable
1057,Barely acceptable
1058,Barely acceptable
1060,Barely acceptable
1063,Barely acceptable
1065,Barely acceptable
1066,Barely acceptable
1067,Barely acceptable
1068,Barely acceptable
1069,Barely acceptable
1070,Unacceptable
1071,Barely acceptable
1072,Barely acceptable
1073,Barely acceptable
1075,Unacceptable
1076,Barely acceptable
1077,Barely acceptable
1079,Barely acceptable
1081,Barely acceptable
1083,Unacceptable
1084,Barely acceptable
1085,Unacceptable
1088,Unacceptable
1089,Barely acceptable
1092,Barely acceptable
1093,Barely acceptable
1095,Barely acceptable
1097,Barely acceptable
1101,Barely acceptable
1104,Barely acceptable
1106,Barely acceptable
1107,Unacceptable
1108,Barely acceptable
1110,Barely acceptable
1111,Barely acceptable
1112,Barely acceptable
1113,Barely acceptable
1114,Barely acceptable
1115,Barely acceptable
1116,Barely acceptable
1119,Barely acceptable
1120,Barely acceptable
1121,Barely acceptable
